Food_Items,Sodium_Content,Glycemic_Index,Contains_Nuts,Contains_Glutten,Contains_Diary,Veg_Nonveg,Calories,Fat,Protein,Iron,Calcium,Sodium,Potassium,Fibre,Magnesium,Zinc,Carbohydrates
Avocado,Low,Low,No,No,No,Veg,160,15,2,0.0006,0.012,0.007,0.485,6.7,0.029,0.6,8.5
Apples ,Low,Low,No,No,No,Non-veg,52,0.2,0.3,0.0001,0.006,0.001,0.107,24,0.005,0.00004,13.8
Carrot,Low,Low,No,No,No,Veg,41,0.2,0.9,0.0003,0.033,0.069,0.32,2.8,0.012,0.0002,9.6
Beans,Low,Low,No,No,No,Non-veg,31,0.1,1.8,0.001,0.037,0.006,0.209,2.7,0.025,0.0002,7
Spinash,Low,Low,No,No,No,Veg,23,0.4,2.9,0.0027,0.099,0.079,0.558,2.2,0.079,0.0005,3.6
Fonio,Low,Low,No,No,No,Non-veg,367,1.5,9.1,0.004,0.02,0.005,0.135,7,0.02,0.0017,73
Pinapple,Low,Low,No,No,No,Non-veg,50,0.1,0.5,0.0003,0.013,0.001,0.109,1.4,0.012,0.0001,13.1
Wheat,Low,Low,No,Yes,No,Non-veg,339,2.5,13.7,0.0037,0.033,0.002,0.431,10.7,0.126,0.028,71.2
Oat meal,Low,Low,No,Yes,Yes,Non-veg,71,1.4,2.5,0.0005,0.008,0.049,0.061,1.7,0.023,0.0005,66
Dates,Low,High,No,No,No,Non-veg,227,0.2,1.8,0.0009,0.064,0.001,0.696,6.7,0.054,0.0004,75
Doum Palm,Low,Low,No,No,No,Non-veg,324,0.1,3.5,0.0045,0.136,0.1,0.143,16,0.063,0.0016,78.5
Greek Yoghurt,Low,Low,No,No,Yes,Non-veg,59,0.4,10,0.0001,0.11,0.036,0.141,0,0.011,0.0007,3.6
Hibiscus drink,Low,Low,No,No,No,Non-veg,37,0.6,0.4,0.0082,0.215,0.009,0.036,0.3,0.057,0.0001,8.9
Tomatoes,Low,Low,No,No,No,Veg,18,0.2,0.9,0.0003,0.01,0.005,0.237,1.2,0.011,0.0002,3.9
Scotch bonnet,Low,Low,No,No,No,Veg,40,0.4,1,0.0011,0.009,0.007,0.34,1.5,0.018,0.0003,8.8
Unripe plantains(boiled),Low,Low,No,No,No,Non-veg,122,0.3,1.3,0.0006,0.003,0.004,0.499,2.3,0.037,0.0015,31.9
Yoghurt,Low,Low,No,No,No,Non-veg,61,3.3,3.5,0.0001,0.121,0.046,0.155,0,0.012,0.0006,4.7
Gruel,Low,Low,No,No,No,Non-veg,50,1,1,0.0015,0.01,0.005,0.08,0.5,0.02,0.001,10
Irish potatoes,Low,High,No,No,No,Non-veg,77,0.1,2,0.0008,0.012,0.006,0.425,2.2,0.023,0.0003,17.5
Sweet potatoes,Low,Low,No,No,No,Non-veg,86,0.1,1.6,0.0006,0.03,0.055,0.337,3,0.025,0.0003,20.1
Brocolli,Low,Low,No,No,No,Veg,34,0.4,2.8,0.0007,0.047,0.033,0.316,2.6,0.021,0.0004,6.6
Cauli flower,Low,Low,No,No,No,Veg,25,0.3,1.9,0.0004,0.022,0.03,0.299,2,0.015,0.0003,4.9
Lettuce,Low,Low,No,No,No,Veg,14,0.1,0.9,0.0003,0.018,0.01,0.141,1.2,0.007,0.0002,2.9
Cabbage,Low,Low,No,No,No,Veg,25,0.1,1.3,0.0005,0.04,0.018,0.17,2.5,0.012,0.0002,5.8
Bell peppers,Low,Low,No,No,No,Veg,31,0.3,1,0.0004,0.007,0.002,0.211,2.1,0.012,0.0003,6.8
Yam,Low,Low,No,No,No,Non-veg,118,0.2,1.5,0.0005,0.017,0.009,0.816,4.1,0.021,0.0002,27.9
Cake slice,High,High,No,Yes,Yes,Non-veg,352,15,3.5,0.0014,0.061,0.308,0.121,0.9,0.014,0.0004,51
Wheat bread,High,High,No,Yes,No,Non-veg,247,4.2,13,0.0024,0.107,0.491,0.363,6,0.117,0.016,41.4
Brown rice,Low,High,No,No,No,Non-veg,123,1,2.7,0.0004,0.01,0.004,0.086,1.8,0.039,0.0012,25.6
Tamarind drink,Low,Low,No,No,No,Non-veg,68,0.6,0.6,0.002,0.074,0.029,0.14,0.6,0.092,0.001,17
Coffee,Low,Low,No,No,No,Non-veg,1,0.05,0.12,0.00047,0.004,0.002,0.092,0,0.003,0.00002,0.1
Bluebrries,Low,Low,No,No,No,Non-veg,57,0.33,0.74,0.00028,0.006,0.001,0.077,2.4,0.006,0.00016,14.5
Sugar,Low,High,No,No,No,Non-veg,387,0,0,0.00001,0.001,0.001,0.002,0,0,0,99.98
Grapefruit,Low,Low,No,No,No,Non-veg,42,0.1,0.77,0.00008,0.009,0,0.135,1.6,0.008,0.00007,10.7
